Year,MonthLab,Elevation (ft),Rel_comp
1968,NOV,4487.605,-1.44
1968,DEC,4487.755,-1.29
1969,JAN,4488.555,-0.49
1969,FEB,4488.955,-0.09
1969,MAR,4489.355,0.31
1969,APR,4489.555,0.51
1969,MAY,4489.205,0.16
1969,JUN,4489.055,0.01
1969,JUL,4488.355,-0.69
1969,AUG,4487.655,-1.39
1969,SEP,4487.505,-1.54
1969,OCT,4487.905,-1.14
1969,NOV,4488.255,-0.79
1969,DEC,4488.555,-0.49
1970,JAN,4489.055,0.01
1970,FEB,4489.155,0.11
1970,MAR,4489.105,0.06
1970,APR,4489.005,-0.04
1970,MAY,4488.705,-0.34
1970,JUN,4488.155,-0.89
1970,JUL,4487.355,-1.69
1970,AUG,4486.855,-2.19
1970,SEP,4486.655,-2.39
1970,OCT,4487.205,-1.84
1970,NOV,4487.805,-1.24
1970,DEC,4488.155,-0.89
1971,JAN,4488.655,-0.39
1971,FEB,4488.905,-0.14
1971,MAR,4489.155,0.11
1971,APR,4489.255,0.21
1971,MAY,4488.955,-0.09
1971,JUN,4488.155,-0.89
1971,JUL,4487.255,-1.79
1971,AUG,4486.705,-2.34
1971,SEP,4486.655,-2.39
1971,OCT,4487.255,-1.79
1971,NOV,4487.855,-1.19
1971,DEC,4488.105,-0.94
1972,JAN,4488.605,-0.44
1972,FEB,4488.805,-0.24
1972,MAR,4488.955,-0.09
1972,APR,4488.605,-0.44
1972,MAY,4488.255,-0.79
1972,JUN,4487.455,-1.59
1972,JUL,4486.555,-2.49
1972,AUG,4485.805,-3.24
1972,SEP,4485.805,-3.24
1972,OCT,4486.355,-2.69
1972,NOV,4486.905,-2.14
1972,DEC,4487.555,-1.49
1973,JAN,4488.055,-0.99
1973,FEB,4488.505,-0.54
1973,MAR,4488.805,-0.24
1973,APR,4489.355,0.31
1973,MAY,4489.655,0.61
1973,JUN,4489.005,-0.04
1973,JUL,4488.255,-0.79
1973,AUG,4487.655,-1.39
1973,SEP,4487.655,-1.39
1973,OCT,4488.055,-0.99
1973,NOV,4488.355,-0.69
1973,DEC,4488.405,-0.64
1974,JAN,4489.105,0.06
1974,FEB,4489.355,0.31
1974,MAR,4489.655,0.61
1974,APR,4489.555,0.51
1974,MAY,4489.205,0.16
1974,JUN,4488.405,-0.64
1974,JUL,4487.505,-1.54
1974,AUG,4486.605,-2.44
1974,SEP,4486.205,-2.84
1974,OCT,4486.605,-2.44
1974,NOV,4487.155,-1.89
1974,DEC,4488.205,-0.84
1975,JAN,4488.355,-0.69
1975,FEB,4488.655,-0.39
1975,MAR,4488.855,-0.19
1975,APR,4489.105,0.06
1975,MAY,4489.955,0.91
1975,JUN,4489.955,0.91
1975,JUL,4489.355,0.31
1975,AUG,4488.655,-0.39
1975,SEP,4488.455,-0.59
1975,OCT,4488.705,-0.34
1975,NOV,4489.105,0.06
1975,DEC,4488.955,-0.09
1976,JAN,4489.705,0.66
1976,FEB,4489.905,0.86
1976,MAR,4489.955,0.91
1976,APR,4489.755,0.71
1976,MAY,4489.105,0.06
1976,JUN,4488.305,-0.74
1976,JUL,4487.505,-1.54
1976,AUG,4486.805,-2.24
1976,SEP,4486.505,-2.54
1976,OCT,4486.655,-2.39
1976,NOV,4487.005,-2.04
1976,DEC,4488.405,-0.64
1977,JAN,4487.755,-1.29
1977,FEB,4488.005,-1.04
1977,MAR,4488.255,-0.79
1977,APR,4488.055,-0.99
1977,MAY,4487.755,-1.29
1977,JUN,4486.755,-2.29
1977,JUL,4485.955,-3.09
1977,AUG,4485.255,-3.79
1977,SEP,4485.055,-3.99
1977,OCT,4485.205,-3.84
1977,NOV,4485.555,-3.49
1977,DEC,4486.755,-2.29
1978,JAN,4486.605,-2.44
1978,FEB,4487.355,-1.69
1978,MAR,4488.055,-0.99
1978,APR,4488.455,-0.59
1978,MAY,4488.355,-0.69
1978,JUN,4487.605,-1.44
1978,JUL,4486.755,-2.29
1978,AUG,4486.205,-2.84
1978,SEP,4486.255,-2.79
1978,OCT,4486.605,-2.44
1978,NOV,4487.255,-1.79
1978,DEC,4487.155,-1.89
1979,JAN,4488.455,-0.59
1979,FEB,4488.955,-0.09
1979,MAR,4489.255,0.21
1979,APR,4489.255,0.21
1979,MAY,4488.705,-0.34
1979,JUN,4487.755,-1.29
1979,JUL,4486.955,-2.09
1979,AUG,4486.305,-2.74
1979,SEP,4485.955,-3.09
1979,OCT,4486.305,-2.74
1979,NOV,4486.755,-2.29
1979,DEC,4487.755,-1.29
1980,JAN,4488.055,-0.99
1980,FEB,4488.755,-0.29
1980,MAR,4488.955,-0.09
1980,APR,4489.955,0.91
1980,MAY,4489.955,0.91
1980,JUN,4489.605,0.56
1980,JUL,4488.805,-0.24
1980,AUG,4488.455,-0.59
1980,SEP,4488.355,-0.69
1980,OCT,4488.655,-0.39
1980,NOV,4488.955,-0.09
1980,DEC,4488.855,-0.19
1981,JAN,4489.205,0.16
1981,FEB,4489.255,0.21
1981,MAR,4489.305,0.26
1981,APR,4489.205,0.16
1981,MAY,4489.105,0.06
1981,JUN,4488.355,-0.69
1981,JUL,4487.355,-1.69
1981,AUG,4486.805,-2.24
1981,SEP,4486.905,-2.14
1981,OCT,4487.355,-1.69
1981,NOV,4487.555,-1.49
1981,DEC,4488.305,-0.74
1982,JAN,4488.555,-0.49
1982,FEB,4489.055,0.01
1982,MAR,4489.455,0.41
1982,APR,4489.955,0.91
1982,MAY,4490.345,1.30
1982,JUN,4489.955,0.91
1982,JUL,4489.605,0.56
1982,AUG,4489.305,0.26
1982,SEP,4489.805,0.76
1982,OCT,4489.955,0.91
1982,NOV,4490.345,1.30
1982,DEC,4489.655,0.61
1983,JAN,4490.345,1.30
1983,FEB,4491.345,2.30
1983,MAR,4491.345,2.30
1983,APR,4492.345,3.30
1983,MAY,4493.345,4.30
1983,JUN,4493.345,4.30
1983,JUL,4492.345,3.30
1983,AUG,4491.345,2.30
1983,SEP,4491.345,2.30
1983,OCT,4491.345,2.30
1983,NOV,4492.345,3.30
1983,DEC,4491.345,2.30
1984,JAN,4492.345,3.30
1984,FEB,4492.345,3.30
1984,MAR,4492.345,3.30
1984,APR,4493.345,4.30
1984,MAY,4493.345,4.30
1984,JUN,4493.345,4.30
1984,JUL,4492.345,3.30
1984,AUG,4491.345,2.30
1984,SEP,4491.345,2.30
1984,OCT,4491.345,2.30
1984,NOV,4491.345,2.30
1984,DEC,4492.345,3.30
1985,JAN,4491.345,2.30
1985,FEB,4491.345,2.30
1985,MAR,4492.345,3.30
1985,APR,4492.345,3.30
1985,MAY,4491.345,2.30
1985,JUN,4491.345,2.30
1985,JUL,4490.345,1.30
1985,AUG,4489.955,0.91
1985,SEP,4489.905,0.86
1985,OCT,4489.955,0.91
1985,NOV,4489.955,0.91
1985,DEC,4491.345,2.30
1986,JAN,4490.345,1.30
1986,FEB,4491.345,2.30
1986,MAR,4492.345,3.30
1986,APR,4492.345,3.30
1986,MAY,4492.345,3.30
1986,JUN,4491.345,2.30
1986,JUL,4490.345,1.30
1986,AUG,4489.805,0.76
1986,SEP,4489.605,0.56
1986,OCT,4489.455,0.41
1986,NOV,4489.405,0.36
1986,DEC,4490.345,1.30
1987,JAN,4489.255,0.21
1987,FEB,4489.155,0.11
1987,MAR,4488.905,-0.14
1987,APR,4488.555,-0.49
1987,MAY,4488.205,-0.84
1987,JUN,4487.405,-1.64
1987,JUL,4486.755,-2.29
1987,AUG,4486.355,-2.69
1987,SEP,4486.155,-2.89
1987,OCT,4486.555,-2.49
1987,NOV,4487.005,-2.04
1987,DEC,4487.805,-1.24
1988,JAN,4488.005,-1.04
1988,FEB,4488.405,-0.64
1988,MAR,4488.705,-0.34
1988,APR,4488.605,-0.44
1988,MAY,4488.105,-0.94
1988,JUN,4486.955,-2.09
1988,JUL,4485.905,-3.14
1988,AUG,4485.205,-3.84
1988,SEP,4484.705,-4.34
1988,OCT,4484.905,-4.14
1988,NOV,4485.205,-3.84
1988,DEC,4486.905,-2.14
1989,JAN,4479.805,-9.24
1989,FEB,4479.805,-9.24
1989,MAR,4480.005,-9.04
1989,APR,4479.805,-9.24
1989,MAY,4479.805,-9.24
1989,JUN,4479.305,-9.74
1989,JUL,4479.005,-10.04
1989,AUG,4478.905,-10.14
1989,SEP,4479.005,-10.04
1989,OCT,4479.105,-9.94
1989,NOV,4479.205,-9.84
1989,DEC,4479.405,-9.64
1990,JAN,4485.455,-3.59
1990,FEB,4485.955,-3.09
1990,MAR,4486.255,-2.79
1990,APR,4485.705,-3.34
1990,MAY,4485.255,-3.79
1990,JUN,4484.405,-4.64
1990,JUL,4483.305,-5.74
1990,AUG,4482.605,-6.44
1990,SEP,4482.505,-6.54
1990,OCT,4482.605,-6.44
1990,NOV,4483.005,-6.04
1990,DEC,4484.305,-4.74
1991,JAN,4483.805,-5.24
1991,FEB,4484.405,-4.64
1991,MAR,4484.605,-4.44
1991,APR,4484.705,-4.34
1991,MAY,4484.805,-4.24
1991,JUN,4483.905,-5.14
1991,JUL,4483.005,-6.04
1991,AUG,4482.505,-6.54
1991,SEP,4482.605,-6.44
1991,OCT,4482.705,-6.34
1991,NOV,4483.305,-5.74
1991,DEC,4483.705,-5.34
1992,JAN,4484.205,-4.84
1992,FEB,4484.605,-4.44
1992,MAR,4484.805,-4.24
1992,APR,4477.305,-11.74
1992,MAY,4477.305,-11.74
1992,JUN,4477.205,-11.84
1992,JUL,4477.005,-12.04
1992,AUG,4476.905,-12.14
1992,SEP,4477.005,-12.04
1992,OCT,4478.805,-10.24
1992,NOV,4482.105,-6.94
1992,DEC,4480.705,-8.34
1993,JAN,4483.505,-5.54
1993,FEB,4484.405,-4.64
1993,MAR,4485.255,-3.79
1993,APR,4486.055,-2.99
1993,MAY,4482.705,-6.34
1993,JUN,4486.705,-2.34
1993,JUL,4486.155,-2.89
1993,AUG,4485.655,-3.39
1993,SEP,4485.755,-3.29
1993,OCT,4486.155,-2.89
1993,NOV,4486.455,-2.59
1993,DEC,4485.205,-3.84
1994,JAN,4487.305,-1.74
1994,FEB,4487.705,-1.34
1994,MAR,4487.905,-1.14
1994,APR,4487.855,-1.19
1994,MAY,4487.255,-1.79
1994,JUN,4486.255,-2.79
1994,JUL,4485.405,-3.64
1994,AUG,4484.705,-4.34
1994,SEP,4484.705,-4.34
1994,OCT,4485.155,-3.89
1994,NOV,4485.555,-3.49
1994,DEC,4486.405,-2.64
1995,JAN,4486.555,-2.49
1995,FEB,4487.005,-2.04
1995,MAR,4487.455,-1.59
1995,APR,4488.305,-0.74
1995,MAY,4489.355,0.31
1995,JUN,4489.205,0.16
1995,JUL,4488.555,-0.49
1995,AUG,4488.055,-0.99
1995,SEP,4487.955,-1.09
1995,OCT,4488.255,-0.79
1995,NOV,4488.655,-0.39
1995,DEC,4487.955,-1.09
1996,JAN,4489.155,0.11
1996,FEB,4489.405,0.36
1996,MAR,4489.505,0.46
1996,APR,4489.555,0.51
1996,MAY,4489.305,0.26
1996,JUN,4488.605,-0.44
1996,JUL,4487.855,-1.19
1996,AUG,4487.405,-1.64
1996,SEP,4487.355,-1.69
1996,OCT,4487.755,-1.29
1996,NOV,4488.355,-0.69
1996,DEC,4488.605,-0.44
1997,JAN,4489.505,0.46
1997,FEB,4489.805,0.76
1997,MAR,4489.855,0.81
1997,APR,4489.955,0.91
1997,MAY,4489.955,0.91
1997,JUN,4489.305,0.26
1997,JUL,4488.755,-0.29
1997,AUG,4488.505,-0.54
1997,SEP,4488.805,-0.24
1997,OCT,4488.955,-0.09
1997,NOV,4489.005,-0.04
1997,DEC,4489.305,0.26
1998,JAN,4489.355,0.31
1998,FEB,4489.555,0.51
1998,MAR,4489.755,0.71
1998,APR,4489.955,0.91
1998,MAY,4490.345,1.30
1998,JUN,4489.955,0.91
1998,JUL,4489.255,0.21
1998,AUG,4488.905,-0.14
1998,SEP,4489.005,-0.04
1998,OCT,4489.255,0.21
1998,NOV,4489.355,0.31
1998,DEC,4489.505,0.46
1999,JAN,4489.555,0.51
1999,FEB,4489.505,0.46
1999,MAR,4489.355,0.31
1999,APR,4489.555,0.51
1999,MAY,4489.655,0.61
1999,JUN,4489.005,-0.04
1999,JUL,4488.455,-0.59
1999,AUG,4488.055,-0.99
1999,SEP,4487.905,-1.14
1999,OCT,4488.055,-0.99
1999,NOV,4488.405,-0.64
1999,DEC,4488.905,-0.14
2000,JAN,4489.055,0.01
2000,FEB,4489.205,0.16
2000,MAR,4489.105,0.06
2000,APR,4488.855,-0.19
2000,MAY,4488.355,-0.69
2000,JUN,4487.555,-1.49
2000,JUL,4486.705,-2.34
2000,AUG,4486.305,-2.74
2000,SEP,4486.255,-2.79
2000,OCT,4486.555,-2.49
2000,NOV,4487.005,-2.04
2000,DEC,4487.805,-1.24
2001,JAN,4487.655,-1.39
2001,FEB,4487.955,-1.09
2001,MAR,4488.155,-0.89
