"date","SiteCode","Month","DOY","BGA","Chl","DO","DOsat","CDOM","pH","Specific.Conductance","Temperature","Turbidity"
2016-09-22,"4917365",9,266,1.1,3.2,6.94,74.4898262729264,NA,8.73,2872,17.58,73
2016-09-22,"4917390",9,266,1.1,3.8,5.77,61.5117424748643,NA,8.61,2562,17.15,60.75
2016-09-22,"4917715",9,266,1.5,4.3,6.91,73.5581958601457,NA,8.67,2914,17.31,45.4
2016-09-23,"4917365",9,267,1.6,3.3,6.9,70.8863209464878,NA,8.7,2833,15.05,105.76
2016-09-23,"4917390",9,267,2,4.7,6.19,63.3004955322974,NA,8.64,2544,14.8,85.5
2016-09-23,"4917715",9,267,1.5,5,7.03,71.9287776593658,NA,8.64,2925,14.72,68.23
2016-09-24,"4917365",9,268,1.3,3.4,7.41,72.0939980875381,NA,8.67,2824,14.02,50.49
2016-09-24,"4917390",9,268,1.6,3.9,6.26,61.5183411768688,NA,8.53,2550,14.44,51.2
2016-09-24,"4917715",9,268,1.6,4.8,7.35,71.7020315866078,NA,8.63,2949,14.16,29.2
2016-09-25,"4917365",9,269,1.2,3.3,7.59,73.0212841461736,NA,8.69,2838,13.54,36.61
2016-09-25,"4917390",9,269,1.7,4,6.52,63.0808047578589,NA,8.56,2672,13.74,42.2
2016-09-25,"4917715",9,269,1.4,4.6,7.42,71.8043889236984,NA,8.63,2958,13.78,26.41
2016-09-26,"4917365",9,270,0.9,3.3,7.92,77.6245356048646,NA,8.72,2843,14.13,31.62
2016-09-26,"4917390",9,270,1.4,4,7.07,69.1597568049602,NA,8.59,2500,14.04,39.31
2016-09-26,"4917715",9,270,1.2,4.2,7.78,75.9814657693809,NA,8.64,2969,14.17,24.64
2016-09-27,"4917365",9,271,0.5,2.7,8.18,81.6893777635445,NA,8.73,2863,15.21,25.94
2016-09-27,"4917390",9,271,0.7,3.4,7.03,69.7443975147053,NA,8.63,2558,14.84,29.82
2016-09-27,"4917715",9,271,1,3.5,8.12,80.4696577332374,NA,8.66,2963,14.83,21.28
2016-09-28,"4917365",9,272,0.8,2.7,8.18,83.8926324731098,NA,8.75,2854,15.95,30.8
2016-09-28,"4917390",9,272,0.4,2.8,7.37,74.1965639820667,NA,8.64,2642,15.58,31.05
2016-09-28,"4917715",9,272,0.9,3.1,7.95,80.2096187259301,NA,8.64,2977,15.68,25.28
2016-09-29,"4917365",9,273,1.7,2.4,7.97,82.7541425598652,NA,8.73,2858,17.04,30.5
2016-09-29,"4917390",9,273,0,1.8,6.87,70.8797859733765,NA,8.58,2731,16.74,24.76
2016-09-29,"4917715",9,273,1,3,7.56,78.0983443926263,NA,8.65,2987,16.76,29.07
2016-09-30,"4917365",9,274,1.6,2.2,7.03,73.8599227971914,NA,8.7,2873,17.19,39.27
2016-09-30,"4917390",9,274,0.3,2.5,6.4,66.9873605661621,NA,8.57,2588,16.93,31.55
2016-09-30,"4917715",9,274,1.2,2.7,7.46,77.5243024367707,NA,8.64,2910,16.9,38.64
2016-10-01,"4917365",10,275,1.6,2.3,7.69,79.8637486731317,NA,8.72,2893,16.97,53.61
2016-10-01,"4917390",10,275,0.3,2.6,5.99,62.590554048149,NA,8.53,2410,17.24,30.42
2016-10-01,"4917715",10,275,1.6,2.9,7.17,75.6307767479399,NA,8.67,2932,17.77,64.65
2016-10-02,"4917365",10,276,2,2.3,7.42,77.2880768411634,NA,8.69,2858,17.13,85.7
2016-10-02,"4917390",10,276,0.6,3.6,6.37,66.2390367115264,NA,8.55,2320,17.1,54.07
2016-10-02,"4917715",10,276,2.1,3.1,6.65,70.6438573172305,NA,8.66,2920,17.55,65.43
2016-10-03,"4917365",10,277,2.6,2.6,7.48,76.1300613515423,NA,8.65,2862,14.56,81.02
