UID,PTL,Total_phosphorus_mgL,Total_nitrogen_mgL,Chlorophyll_a_ugL,Secchi_m,TNTP_mol,Comment,TSIchl,TSItp,TSIsd
1000193,39,0.039,1.16,10.3,0.95,65.7726841,,53.4783316122612,56.172575375041,60.7391363721246
1000194,41,0.041,0.456,1.385806452,7.2,24.59422654,,33.8008288332089,56.8827233472012,31.5534924150228
1000202,10,0.01,0.41,2.81,5.8,90.664243,,40.7355397816209,36.8467083205154,34.6692674080703
1000203,21,0.021,0.6,11.9,1.55,63.18065714,,54.8948417051525,47.3822186156726,53.6847464452821
1000204,11,0.011,0.85,2.38,,170.8749591,Secchi = 0 set to NA,39.106255784174,38.2001128737369,
1000206,30,0.03,0.199,2.96,2.675,14.66844257,,41.2457067223759,52.4470028196026,45.8212894291858
1000207,86,0.086,0.9,77.8,0.65,23.14175233,,73.3141274399185,67.4017316067998,66.2075818208923
1000208,217,0.217,2.66,89.7,0.275,27.10654,,74.7103782445252,80.5445424202745,78.6030820527573
1000211,117,0.117,0.48,20.68571429,1.175,9.072094359,,60.3188390781252,71.7728698741282,57.6761259931399
1000217,36,0.036,1.18,14.7,0.45,72.48225389,,56.9677839140278,55.0359689260768,71.5064959024981
1000218,155,0.155,2.16,146,0.45,30.815856,,79.4891809589588,75.7666366602533,71.5064959024981
1000219,9,0.009,0.37,5.77,4.25,90.90994556,,47.7937131099013,35.3505889981743,39.1498974558876
1000220,27,0.027,0.68,13.9,1.25,55.69257926,,56.4188295217405,50.9508834972615,56.7845014255622
1000222,31,0.031,0.58,6.12,,41.37314,Secchi = 0 set to NA,48.3714241669027,52.9126183036891,
1000223,35,0.035,0.73,25.5,1.95,46.12187971,,62.3714356157326,54.6359424731497,50.3765787411848
6160,26.8,0.0268,0.339,2.7,4.835,27.97158571,,40.3437998932309,50.8453068027387,37.2915529324752
6187,40,0.04,0.321,3.228,2.85,17.74586708,,42.0959735814996,56.5320882484179,44.9081332924171
6189,70,0.07,1.509,7.48,2.2,47.66980581,,50.3400036893865,64.4786324371009,48.6383294371509
