Lab_Name,Project,SiteName,Monitoring Location ID,Monitoring Location Latitude,Monitoring Location Longitude,Date,SampleType,SampleDepth,SampleZone,CollectionProcedure,Genus,Taxon,Division,NumberinStand,RankinStand,RelativeDensity,turalUnitsperML,CellperML,CellVolume_u3mL
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,9/12/2006,Total Plankton Sample,,Surface,Water column,,unknown spherical chlorophyta,Chlorophyta,1,6,0,2.8,3,2800
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,4917500,40.16967582,-111.8716056,9/12/2006,Total Plankton Sample,,Surface,Water column,Aphanizomenon,Aphanizomenon flos-aquae,Cyanophyta,100,1,85.4,280,17080,5320000
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,4917500,40.16967582,-111.8716056,9/12/2006,Total Plankton Sample,,Surface,Water column,Centric diatom,centric diatoms,Bacillariophyta,200,2,6.3,560,560,392000
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,4917500,40.16967582,-111.8716056,9/12/2006,Total Plankton Sample,,Surface,Water column,Ceratium,Ceratium hirundinella,Dinophyta,3,3,5.2,8.4,8,326995.2
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,4917500,40.16967582,-111.8716056,9/12/2006,Total Plankton Sample,,Surface,Water column,Closteriopsis,Closteriopsis longissima var. tropica,Chlorophyta,1,7,0,2.8,3,2800
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,4917500,40.16967582,-111.8716056,9/12/2006,Total Plankton Sample,,Surface,Water column,Closterum,Closterum species,Chlorophyta,1,5,1.3,2.8,3,84000
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,4917500,40.16967582,-111.8716056,9/12/2006,Total Plankton Sample,,Surface,Water column,Oocystis,Oocystis borgei,Chlorophyta,1,6,0.2,2.8,11,11200
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,4917500,40.16967582,-111.8716056,9/12/2006,Total Plankton Sample,,Surface,Water column,Pteromonas,Pteromonas species,Chlorophyta,2,8,0,5.6,6,2576
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,4917500,40.16967582,-111.8716056,9/12/2006,Total Plankton Sample,,Surface,Water column,Trachellomonas,Trachellomonas species,Euglenophyta,4,4,1.4,11.2,11,89600
Rushforth Phycology,Utah Lakes and Reservoirs,UTAH LAKE 1 MI EAST OF PELICAN POINT,4917370,40.26828256,-111.8299304,9/12/2006,Total Plankton Sample,,Surface,Water column,Aphanizomenon,Aphanizomenon flos-aquae,Cyanophyta,40,2,47.2,112,6832,2128000
