Activity Relative Depth,Characteristic Name,Sample Fraction,Parameter,Fraction,Depth
Bottom,Endosulfan sulfate,Total,Endosulfan sulfate,Total,Bottom
,Endosulfan sulfate,Total,Endosulfan sulfate,Total,
Surface,Endrin,Total,Endrin,Total,Surface
Bottom,Endrin,Total,Endrin,Total,Bottom
,Endrin,Total,Endrin,Total,
Surface,Endrin aldehyde,Total,Endrin aldehyde,Total,Surface
Bottom,Endrin aldehyde,Total,Endrin aldehyde,Total,Bottom
,Endrin aldehyde,Total,Endrin aldehyde,Total,
Surface,Endrin ketone,Total,Endrin ketone,Total,Surface
Bottom,Endrin ketone,Total,Endrin ketone,Total,Bottom
Surface,Fecal Coliform,Total,Fecal Coliform,Total,Surface
,Fecal Coliform,Total,Fecal Coliform,Total,
Bottom,Fecal Coliform,Total,Fecal Coliform,Total,Bottom
Surface,Fecal Streptococcus Group Bacteria,Total,Fecal Streptococcus Group Bacteria,Total,Surface
Bottom,Fecal Streptococcus Group Bacteria,Total,Fecal Streptococcus Group Bacteria,Total,Bottom
Surface,Fluoride,Dissolved,Fluoride,Dissolved,Surface
Surface,"Hardness, Ca, Mg",Total,"Hardness, Ca, Mg",Total,Surface
Bottom,"Hardness, Ca, Mg",Total,"Hardness, Ca, Mg",Total,Bottom
,"Hardness, Ca, Mg",Dissolved,"Hardness, Ca, Mg",Dissolved,
Surface,"Hardness, Ca, Mg",Dissolved,"Hardness, Ca, Mg",Dissolved,Surface
Bottom,"Hardness, Ca, Mg",Dissolved,"Hardness, Ca, Mg",Dissolved,Bottom
Surface,Heptachlor,Total,Heptachlor,Total,Surface
Bottom,Heptachlor,Total,Heptachlor,Total,Bottom
,Heptachlor,Total,Heptachlor,Total,
Surface,Heptachlor epoxide,Total,Heptachlor epoxide,Total,Surface
Bottom,Heptachlor epoxide,Total,Heptachlor epoxide,Total,Bottom
,Heptachlor epoxide,Total,Heptachlor epoxide,Total,
Surface,Hydroxide,Total,Hydroxide,Total,Surface
Bottom,Hydroxide,Total,Hydroxide,Total,Bottom
,Hydroxide,Total,Hydroxide,Total,
Surface,Inorganic nitrogen (nitrate and nitrite),Total,Inorganic nitrogen (nitrate and nitrite),Total,Surface
,Inorganic nitrogen (nitrate and nitrite),Total,Inorganic nitrogen (nitrate and nitrite),Total,
Surface,Inorganic nitrogen (nitrate and nitrite),Dissolved,Inorganic nitrogen (nitrate and nitrite),Dissolved,Surface
Bottom,Inorganic nitrogen (nitrate and nitrite),Dissolved,Inorganic nitrogen (nitrate and nitrite),Dissolved,Bottom
Bottom,Inorganic nitrogen (nitrate and nitrite),Total,Inorganic nitrogen (nitrate and nitrite),Total,Bottom
,Inorganic nitrogen (nitrate and nitrite),Dissolved,Inorganic nitrogen (nitrate and nitrite),Dissolved,
Surface,Iron,Acid Soluble,Iron,Total,Surface
Surface,Iron,Dissolved,Iron,Dissolved,Surface
Bottom,Iron,Acid Soluble,Iron,Total,Bottom
Bottom,Iron,Dissolved,Iron,Dissolved,Bottom
,Iron,Dissolved,Iron,Dissolved,
Surface,Kjeldahl nitrogen,Total,Kjeldahl nitrogen,Total,Surface
,Kjeldahl nitrogen,Total,Kjeldahl nitrogen,Total,
Bottom,Kjeldahl nitrogen,Total,Kjeldahl nitrogen,Total,Bottom
Surface,Lead,Acid Soluble,Lead,Total,Surface
Bottom,Lead,Acid Soluble,Lead,Total,Bottom
Bottom,Lead,Dissolved,Lead,Dissolved,Bottom
Surface,Lead,Dissolved,Lead,Dissolved,Surface
,Lead,Dissolved,Lead,Dissolved,
Surface,Lindane,Total,Lindane,Total,Surface
Bottom,Lindane,Total,Lindane,Total,Bottom
,Lindane,Total,Lindane,Total,
Surface,Magnesium,Dissolved,Magnesium,Dissolved,Surface
Bottom,Magnesium,Dissolved,Magnesium,Dissolved,Bottom
,Magnesium,Dissolved,Magnesium,Dissolved,
Surface,Manganese,Acid Soluble,Manganese,Total,Surface
Bottom,Manganese,Acid Soluble,Manganese,Total,Bottom
Bottom,Manganese,Dissolved,Manganese,Dissolved,Bottom
Surface,Manganese,Dissolved,Manganese,Dissolved,Surface
,Manganese,Dissolved,Manganese,Dissolved,
Surface,Mercury,Acid Soluble,Mercury,Total,Surface
Bottom,Mercury,Acid Soluble,Mercury,Total,Bottom
Bottom,Mercury,Dissolved,Mercury,Dissolved,Bottom
Surface,Mercury,Dissolved,Mercury,Dissolved,Surface
,Mercury,Dissolved,Mercury,Dissolved,
Surface,Methoxychlor,Total,Methoxychlor,Total,Surface
Bottom,Methoxychlor,Total,Methoxychlor,Total,Bottom
,Methoxychlor,Total,Methoxychlor,Total,
Surface,NH3-N,,NH3-N,,Surface
Bottom,Nickel,Dissolved,Nickel,Dissolved,Bottom
,Nickel,Dissolved,Nickel,Dissolved,
Surface,Nickel,Dissolved,Nickel,Dissolved,Surface
Surface,Nitrate,Total,Nitrate,Total,Surface
Surface,Nitrate,Dissolved,Nitrate,Dissolved,Surface
Bottom,Nitrate,Dissolved,Nitrate,Dissolved,Bottom
Surface,Nitrite,Total,Nitrite,Total,Surface
Surface,Nitrite,Dissolved,Nitrite,Dissolved,Surface
Bottom,Nitrite,Dissolved,Nitrite,Dissolved,Bottom
Surface,Nitrogen,Dissolved,Nitrogen,Dissolved,Surface
Surface,Nitrogen,Total,Nitrogen,Total,Surface
Bottom,Nitrogen,Dissolved,Nitrogen,Dissolved,Bottom
Bottom,Nitrogen,Total,Nitrogen,Total,Bottom
Surface,No2+No3,,No2+No3,,Surface
,No2+No3,,No2+No3,,
