MonitoringLocationIdentifier,Date,Chlorophyll a,"Depth, Secchi disk depth",Phosphate-phosphorus,TSIchl,TSItp,TSIsd,Year,Month,Monitoring.Location.ID,Monitoring.Location.Name,Provo,Monitoring.Location.Latitude,Monitoring.Location.Longitude
UTAHDWQ_WQX-4917310,2017-09-11,,0.3,0.036,,55.0359689260768,77.3492481103367,2017,9,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2017-10-16,,0.2,0.073,,65.0745240643072,83.1920003181754,2017,10,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2017-11-08,,0.2,0.057,,61.5613280032506,83.1920003181754,2017,11,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2018-05-16,,0.25,0.06,,62.2896927835538,79.9765017437376,2018,5,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2018-06-12,,0.2,0.065,,63.426299232518,83.1920003181754,2018,6,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2018-07-11,,0.2,0.122,,72.3670988352123,83.1920003181754,2018,7,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2018-08-09,,0.25,0.12,,72.1323827475051,79.9765017437376,2018,8,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2018-09-19,,,0.129,,73.1593361419357,,2018,9,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2018-10-10,,0.3,0.139,,74.2195298504558,77.3492481103367,2018,10,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917310,2018-11-14,,0.2,0.061,,62.524408871261,83.1920003181754,2018,11,4917310,UTAH LAKE 0.5 MI W OF GENEVA DISCHARGE #15-A,0,40.32087284,-111.7775375
UTAHDWQ_WQX-4917330,1990-08-14,58.8,0.1,,70.567331596614,,93.1802511900442,1990,8,4917330,UTAH LAKE 5MI N/NW OF LINCOLN BEACH/ 1 MI OFFSHORE,0,40.20967587,-111.852435
UTAHDWQ_WQX-4917330,1990-09-12,13.3,1.8,,55.9859651855838,,51.5299941587605,1990,9,4917330,UTAH LAKE 5MI N/NW OF LINCOLN BEACH/ 1 MI OFFSHORE,0,40.20967587,-111.852435
UTAHDWQ_WQX-4917330,1990-10-18,22.8,0.18,0.09,61.2735208577715,68.0472973186898,84.7102453488047,1990,10,4917330,UTAH LAKE 5MI N/NW OF LINCOLN BEACH/ 1 MI OFFSHORE,0,40.20967587,-111.852435
UTAHDWQ_WQX-4917330,1990-11-16,13.8,0.22,0.04,56.3479988891206,56.5320882484179,81.8185806271951,1990,11,4917330,UTAH LAKE 5MI N/NW OF LINCOLN BEACH/ 1 MI OFFSHORE,0,40.20967587,-111.852435
UTAHDWQ_WQX-4917330,1991-01-22,92.4,0.6,0.08,75.0013056605333,66.3747782123691,67.3609972384679,1991,1,4917330,UTAH LAKE 5MI N/NW OF LINCOLN BEACH/ 1 MI OFFSHORE,0,40.20967587,-111.852435
UTAHDWQ_WQX-4917330,1991-04-04,15.6,,0.052,57.5507276688464,60.2576608038563,,1991,4,4917330,UTAH LAKE 5MI N/NW OF LINCOLN BEACH/ 1 MI OFFSHORE,0,40.20967587,-111.852435
UTAHDWQ_WQX-4917330,1991-05-07,20.4,0.21,0.047,60.1823973773402,58.8220959442828,82.4889340524939,1991,5,4917330,UTAH LAKE 5MI N/NW OF LINCOLN BEACH/ 1 MI OFFSHORE,0,40.20967587,-111.852435
UTAHDWQ_WQX-4917330,1991-05-23,11.9,0.2,0.091,54.8948417051525,68.2042049925393,83.1920003181754,1991,5,4917330,UTAH LAKE 5MI N/NW OF LINCOLN BEACH/ 1 MI OFFSHORE,0,40.20967587,-111.852435
UTAHDWQ_WQX-4917330,1991-06-05,7.1,,0.073,49.8285298315037,65.0745240643072,,1991,6,4917330,UTAH LAKE 5MI N/NW OF LINCOLN BEACH/ 1 MI OFFSHORE,0,40.20967587,-111.852435
UTAHDWQ_WQX-4917330,1991-06-19,28.9,,0.082,63.5992860481114,66.7254133111524,,1991,6,4917330,UTAH LAKE 5MI N/NW OF LINCOLN BEACH/ 1 MI OFFSHORE,0,40.20967587,-111.852435
UTAHDWQ_WQX-4917330,1991-07-10,18.6,1,0.045,59.2762151068549,58.2046073547385,60,1991,7,4917330,UTAH LAKE 5MI N/NW OF LINCOLN BEACH/ 1 MI OFFSHORE,0,40.20967587,-111.852435
