"SiteCode","SiteName","date","month","Turbidity.ntu","temp.C","windspeed.m.s","winddir.deg","winddir.deg.180","fetch","Latitude","Longitude","depth","rho","v","waveheight","waveperiod","wavelength","tau.wind"
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-04-21,4,NA,NA,4.70416666666667,161.981002044204,341.981002044204,20964.6992188,40.23717289,-111.7646472,3.1,NA,NA,0.288120210951563,2.65620322621938,10.6961917511056,NA
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-04-22,4,NA,NA,2.65833333333333,185.985234223795,5.98523422379489,16329.5996094,40.23717289,-111.7646472,3.1,NA,NA,0.154779564843055,1.8264925054475,5.20393587246518,NA
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-04-23,4,NA,NA,1.8,179.966625322098,359.966625322098,20392.0996094,40.23717289,-111.7646472,3.1,NA,NA,0.0864789083368878,1.32670536303277,2.74719492213485,NA
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-04-24,4,NA,NA,2.12916666666667,224.52664733348,44.52664733348,23386.3007813,40.23717289,-111.7646472,3.1,NA,NA,0.117713580726957,1.53140156458878,3.66023198490963,NA
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-04-25,4,NA,NA,4.97083333333333,145.82239769145,325.82239769145,26064.5996094,40.23717289,-111.7646472,3.1,NA,NA,0.315722082488075,2.73812881089428,11.2897075626441,NA
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-04-26,4,NA,NA,2.45,279.197857935942,99.1978579359419,10511.5,40.23717289,-111.7646472,3.1,NA,NA,0.123835346024133,1.71510542725067,4.59021200199823,NA
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-04-27,4,NA,NA,6.05,161.712151559709,341.712151559709,20990,40.23717289,-111.7646472,3.1,NA,NA,0.331699375779216,3.02709807808831,13.3922237200492,NA
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-04-28,4,NA,NA,7,152.123762269913,332.123762269913,24910.4003906,40.23717289,-111.7646472,3.1,NA,NA,0.372664730324547,3.23976578372007,14.9271004971647,NA
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-04-29,4,NA,NA,5.57916666666667,152.694015086728,332.694015086728,24111.1992188,40.23717289,-111.7646472,3.1,NA,NA,0.331083434327229,2.90861324954067,12.5304544165644,NA
4917390,"UTAH LAKE 1 MI WEST OF PROVO BOAT HARBOR",2017-04-30,4,NA,NA,2.5125,225.363324606936,45.3633246069364,23421.5996094,40.23717289,-111.7646472,3.1,NA,NA,0.153151142590899,1.74921168534917,4.77420498544341,NA
